Op.,WoO,Hess,Biamonti,title,key,scoring,genre,name,year,minor,key_note,Unv.,major-minor,type,essential
,WoO 116a,Hess 129,Biamonti 44, Que le temps me dure,C minor, v pf,Vocal,"WoO 116a, Biamonti 44",1793.0,1.0,C,,minor,Song,other
,WoO 116b,Hess 130,Biamonti 44, Que le temps me dure,C major, v pf,Vocal,"WoO 116b, Biamonti 44",1793.0,0.0,C,,major,Song,other
,WoO 117,,Biamonti 77," Der freie Mann (""Wer ist ein freier Mann?"")",C major, uch,Vocal,"WoO 117, Biamonti 77",1794.0,0.0,C,,major,Song,other
,WoO 118,,Biamonti 79," Seufzer eines Ungeliebten und Gegenliebe (""Hast du nicht Liebe zugernessen"")",C minor, v pf,Vocal,"WoO 118, Biamonti 79",1795.0,1.0,C,,minor,Song,other
,WoO 119,,Biamonti 84, O care selve,G major, v pf,Vocal,"WoO 119, Biamonti 84",1795.0,0.0,G,,major,Song,other
,WoO 120,,Biamonti 78, Man strebt  die Flamme zu verhehlen,F major, v pf,Vocal,"WoO 120, Biamonti 78",1802.0,0.0,F,,major,Song,other
,WoO 121,,Biamonti 108," Abschiedsgesang an Wiens Bürger(""Keine Klage soll erschallen"")",G major, v pf,Vocal,"WoO 121, Biamonti 108",1796.0,0.0,G,,major,Song,other
,WoO 122,,Biamonti 132," Kriegslied der Österreicher (""Ein grosses deutches Volk sind wir"")",C major, v uch pf,Vocal,"WoO 122, Biamonti 132",1797.0,0.0,C,,major,Song,other
,WoO 123,,Biamonti 287," Zärtliche Liebe (""Ich liebe dich  so wie du mich"")",G major, v pf,Vocal,"WoO 123, Biamonti 287",1795.0,0.0,G,,major,Song,other
,WoO 124,,Biamonti 164," La Partenza (Der Abschied) (""Ecco quel fiero istante!"")",A major, v pf,Vocal,"WoO 124, Biamonti 164",1795.0,0.0,A,,major,Song,other
,WoO 125,Hess 135,Biamonti 125," La tiranna(""Ah grief to think"")",E flat major, v pf,Vocal,"WoO 125, Biamonti 125",1799.0,0.0,E flat,,major,Song,other
,WoO 126,,Biamonti 173," Opferlied(""Die Flamme lodert"")",E major, v pf,Vocal,"WoO 126, Biamonti 173",1795.0,0.0,E,,major,Song,other
,WoO 127,Hess 136,Biamonti 186," Neue Liebe  neues Leben (""Herz  mein Herz  was soll das geben?"")",C major, v pf,Vocal,"WoO 127, Biamonti 186",1799.0,0.0,C,,major,Song,other
,WoO 128,Hess 131,Biamonti 201," Plaisir d'aimer"" (""Plaisir d'aimer besoin d'une âme tendre"")",G major, v pf,Vocal,"WoO 128, Biamonti 201",1799.0,0.0,G,,major,Song,other
,WoO 129,,Biamonti 378," Der Wachtelschlag (""Ach  wie schalt's dorten so lieblich hervor"")",F major, v pf,Vocal,"WoO 129, Biamonti 378",1803.0,0.0,F,,major,Song,other
,WoO 130,,Biamonti 416," Gedenke mein! (""Gedenke mein  ich denke dein"")",E flat major, v pf,Vocal,"WoO 130, Biamonti 416",1820.0,0.0,E flat,,major,Song,other
